timelocal,current_pump_percentage,effect_pump_20_MW,pressure_feedwater_tank,temp_feedwater_tank,flow_intermediate_area,temp_after_pump,pressure_after_pump,temp_bearing_booster_radial,temp_bearing_booster_motor,temp_bearing_pump_gear_upper_side,temp_bearing_pump_gear_lower_side,temp_bearing_pump_axial_upper_side,temp_bearing_pump_axial_lower_side,temp_bearing_motor_gear,temp_stator_winding_1,temp_bearing_motor_lower,temp_bearing_motor_upper,temp_motor_cooling_air_inlet,temp_motor_cooling_air_outlet,temp_slipring_water_suction_side,temp_slipring_water_pressure_side,flow_after_pump,temp_slipring_diff
2015-01-01,57.256609041595816,4.588880598178704,7.23415801310919,170.52970198198105,124.3999909389397,175.47441818410803,251.49499900497153,35.25348475775825,34.555245938556816,58.79533614830865,56.600876423642895,55.39746231789201,51.07236210609506,41.362060899750745,65.06652046332995,61.14767812648279,52.61567087900374,13.055757591663465,16.03731817442788,28.367011494661615,31.921952045835212,119.62914011033517,3.554940551173599
2015-01-02,56.456579111669676,4.4930847507679905,7.108601380881777,167.80466929101166,129.17169047572523,172.4700808649388,239.5940436251732,34.797915328013104,33.028298156982,59.352271642193266,55.628411459248156,54.85641624213749,50.20608702180792,40.53801907906426,63.27032967834472,59.470857781444835,51.563539990345284,12.332724423902476,15.119782203649592,27.37515895090633,30.87485309553782,124.26133349886577,3.4996941446314938
2015-01-03,69.55929477250736,5.497616564892177,8.708214180036475,176.69493881755122,143.67773884995708,182.06189075696875,271.5937119549165,35.394559315073934,32.65835941732619,61.05242803553899,58.41427626013509,56.50529893172723,53.083651531638395,42.394577378499775,74.6067353540145,62.91841375464051,53.68440190399523,12.881184938735963,16.000602646444815,29.858010054123486,34.01370059021102,138.03844361248545,4.155690536087531
2015-01-04,73.47173044728738,5.786313094363654,9.117088867507334,179.79884010508783,146.92128892607795,185.5286716370392,285.1562537697347,35.76743518987726,32.80006160997673,61.926208461251434,59.601861539322186,57.093265766911685,54.15396288733729,42.99446179413831,76.30278720744451,64.01878058998462,54.4863390670946,12.951008915197937,16.139416982114934,30.522269851706824,34.941498570214726,141.0858594974751,4.419228718507909
2015-01-05,75.24207908330989,5.971056346593521,8.475869964726147,177.2468492093291,148.27307069282958,182.99288443089236,292.65379714110765,35.8101479665735,33.28331737148497,61.98497579364352,59.855157943199295,57.22756225973765,54.41042918360039,43.323333327566786,78.08788046333031,64.71728365950902,54.933541616042106,13.09762286482705,16.49797809390351,30.75654199807944,35.07118590101878,142.51164226276396,4.314643902939337
2015-01-06,73.45874309125264,5.824894173555286,8.37898844435321,176.76150633256418,146.72186053774797,182.46955744103892,289.21177348008047,35.727653025764184,33.60885284094916,61.50522269664765,59.61980130343543,56.971236511943964,54.09384281243148,42.94039074878693,76.41219422059095,64.2918001573153,54.840428634064985,12.8223895697078,16.224901612849767,30.3756270104931,34.566798478352226,141.1107498711904,4.191171467859127
2015-01-07,76.48563851193745,6.040873288076188,8.766103866262917,178.7401795340613,147.39238747307016,183.47587667459504,294.64403091484303,35.67392606578249,32.843185791446416,62.109670023346716,59.96033251032974,57.0817766081284,54.55530540713532,42.797236779694224,78.73899656374383,63.81765542504821,54.80282009265398,13.40263196771795,16.742041488763057,31.40310848209458,35.4578865996224,140.37192230076926,4.238308604480474
2015-01-08,68.03013774480283,5.3910293444164745,7.921296972454296,173.9465242934004,137.5978421570363,179.26427768131032,272.20703161508993,35.50480980343987,32.898499848736535,60.76588279830908,58.316853880316046,55.63442473608553,52.8420112144201,42.0730190218827,72.87820537156797,63.77977148266661,55.517583925205805,12.731024663175694,15.914955230042949,29.05691495210735,33.18078274952608,132.41008682438869,4.123867797418732
2015-01-09,72.71902548817211,5.748785514392323,8.163611392899089,175.5305052536378,144.82551077902335,181.13985960250852,285.8546228140626,35.58683551533452,32.71977232706423,61.320912344036806,59.354515019895054,56.49023521293429,53.91187665466026,42.80561606793015,77.72692789842394,65.583226459518,56.410279229174016,13.003834485557697,16.27359693480633,30.093039376936314,34.547744933048534,139.4458157718913,4.454705556112219
2015-01-10,76.8720812919214,6.074437645186318,8.625454494956687,177.61265268442227,150.24313523814166,183.41328807514333,294.2372252506143,35.74466875018579,32.8471455616619,62.1344089782722,60.10726142624113,57.08493721335588,54.72144835606186,43.18800782833805,81.34718011603037,66.43447124194533,56.97109622434899,13.11302972923526,16.488645330506078,30.788972853583584,35.40918205023518,144.46163068858252,4.620209196651601
2015-01-11,71.3438148701138,5.673988703357555,9.102690618753433,179.70345563215184,143.9298755955986,185.4799087135004,285.570573390113,35.319271067896246,31.822959320185976,61.07526282987948,59.34509872067275,56.54208287977007,53.88536055014364,42.77344498135955,73.89169192425763,64.70387532277566,56.06600699131577,11.451623759870706,14.533180659892649,28.84565745462029,33.22124421727569,137.93570850978782,4.3755867626553995
2015-01-12,68.48702950164936,5.44367997300903,8.180872665957875,175.58602677706963,140.39804088937265,181.066496543257,280.11539640191535,35.321756059657204,32.424624011724966,60.44400219095371,58.88811062181049,56.193572215040696,53.34089686620572,42.33587036169546,69.7662442557024,64.02450912034566,55.786093263118886,10.277312875821854,13.49288065868678,27.406235626680587,31.594418187583994,134.92009830187337,4.188182560903408
2015-01-13,66.50099844705404,5.28597639583879,7.63511076003397,172.5861183190748,136.18195540436355,177.90578872171753,271.22236320280854,34.87290881753215,32.245855183689685,60.19045021540959,57.80660901903011,55.49678603319663,52.28627048046254,41.887440193042046,69.57077442842059,63.45385366024018,55.17477521926668,10.150397854666709,13.402846913882362,26.825364615939105,31.046994024186308,131.1220275958665,4.221629408247206
2015-01-14,75.84452467056168,5.984472450115063,8.528340291906993,176.94364411672802,148.84782911402667,182.6808878477054,288.6724676711217,34.86601908585584,32.15046594639248,61.40365648110566,59.04747891177707,56.163505544346,53.52793723935587,42.31459765280052,77.18698803833573,65.38671479015633,56.25148704888591,10.22414089480718,13.814583856184925,28.13757948964543,32.822159684654515,143.05230866999025,4.684580195009091
2015-01-15,77.84523896903285,6.174203777061568,9.07987458386121,179.79682789729648,151.5527306651716,185.72887754005433,295.96056143836125,35.16305983609164,32.73001792635953,62.082551726584256,59.77125531974722,56.64827347638802,54.257048145889,42.9958754899682,79.34860412909049,66.46798206126742,56.834221622312334,10.703753775653134,14.429412008236248,29.21684966199486,34.16309248926375,145.69931753020816,4.946242827268883
2015-01-16,70.58267325819597,5.588091300241514,8.457254870586794,176.83328454867598,140.7695368751042,182.74702811498474,284.02314046294623,35.138898030559155,32.582491567669194,61.143462264235744,58.88351802117611,55.97835444736278,53.28829798134256,42.234275843076844,72.99083061786227,63.66789333992115,55.50112017162968,10.610429930061672,14.034744588738041,28.056770635683364,32.52500310995351,135.08573352030643,4.468232474270144
2015-01-17,76.44582967543285,6.027898836615351,8.554367461031719,177.50831492468657,150.04442723729593,183.30779896240517,293.19981772224145,35.42058175088176,32.285526711468165,62.15934772886276,59.7277346602228,56.437184336819115,54.272013497021995,42.48783011456172,76.31270838904416,63.85595686238818,56.56237874212972,9.951356386704974,13.543965965232848,27.93851124349453,32.593019810352324,144.0007246435321,4.654508566857796
2015-01-18,78.95375001599277,6.248552602494293,8.573479008079547,177.58570233502425,153.11740233835292,183.4941237622268,295.8166515019537,35.29485996617847,32.58233509028965,62.84639247164196,59.780252451503195,56.397215522716664,54.29021550866304,42.417647280337015,78.94899674767599,64.44436900557623,56.83817172425941,9.965679681371052,13.608187883317735,28.211541624622345,32.981960890479264,147.1433979905284,4.77041926585692
2015-01-19,78.1582694124808,6.235584292174798,9.16687812187133,180.18565760703757,152.95116097327198,186.11431719146162,296.33432427821407,36.27750609054424,34.19188204681467,64.01066790251767,60.893636795148495,57.656319776316046,55.75054046894215,43.85023862369113,78.9157908514044,65.52137996143765,57.39268193435881,10.077093315747755,13.480673343468595,28.604221617321084,33.108869427145144,146.88773854932785,4.504647809824061
2015-01-20,77.80691709880757,6.197316125199176,8.460242074703375,177.2075595363843,151.57355855498136,183.10812828516927,297.57733509962856,36.498393665853435,34.50479420089298,63.926433927827055,61.14040259214684,57.938497708850434,56.09989304681213,44.172187157570164,78.0002383385948,65.62406903033504,57.49095966224883,9.65977884526553,13.099028325502253,28.127174810511622,32.49012755487407,145.78953769331613,4.362952744362443
2015-01-21,80.41402916264428,6.325777984292242,8.624469491122829,178.0683466668786,154.6878926026196,184.0184923817557,299.567657250889,36.41733201561751,34.033112558165655,64.31278119348597,61.32228208519123,58.03838253361314,56.271527963561304,44.00880733567909,78.35651724972901,65.58180426936538,57.61288928032911,9.29755431831713,12.759641133769,28.039092105034722,32.57591069250531,147.89416295437636,4.536818587470585
